10.5092 	EXP 	mask: autoDraw = False
10.5092 	EXP 	text_2: autoDraw = False
10.5092 	EXP 	mask: autoDraw = False
10.5092 	EXP 	text_2: text = u'E'
10.5092 	EXP 	text_2: autoDraw = True
10.5566 	EXP 	text_2: autoDraw = False
10.5730 	EXP 	mask: autoDraw = True
10.5736 	EXP 	New trial (rep=0, index=12): OrderedDict([('block', 1), ('sep_dur', u'short'), ('Tx', u't1'), ('trial', 13), ('stimulus', u'M'), ('cond', u'distractor')])
10.6255 	EXP 	mask: autoDraw = False
10.6255 	EXP 	text_2: autoDraw = False
10.6255 	EXP 	mask: autoDraw = False
10.6255 	EXP 	text_2: text = u'M'
10.6255 	EXP 	text_2: autoDraw = True
10.6255 	EXP 	text_2: autoDraw = False
10.6517 	EXP 	mask: autoDraw = True
10.6522 	EXP 	New trial (rep=0, index=13): OrderedDict([('block', 1), ('sep_dur', u'short'), ('Tx', u't1'), ('trial', 14), ('stimulus', u'V'), ('cond', u'distractor')])
10.6936 	EXP 	mask: autoDraw = False
10.6936 	EXP 	text_2: autoDraw = False
10.6936 	EXP 	mask: autoDraw = False
10.6936 	EXP 	text_2: text = u'V'
10.6936 	EXP 	text_2: autoDraw = True
10.7187 	EXP 	text_2: autoDraw = False
10.7395 	EXP 	mask: autoDraw = True
10.7400 	EXP 	New trial (rep=0, index=14): OrderedDict([('block', 1), ('sep_dur', u'short'), ('Tx', u't1'), ('trial', 15), ('stimulus', u'O'), ('cond', u'distractor')])
10.7871 	EXP 	mask: autoDraw = False
10.7871 	EXP 	text_2: autoDraw = False
10.7871 	EXP 	mask: autoDraw = False
10.7871 	EXP 	text_2: text = u'O'
10.7871 	EXP 	text_2: autoDraw = True
10.8060 	EXP 	text_2: autoDraw = False
10.8229 	EXP 	mask: autoDraw = True
10.8398 	EXP 	mask: autoDraw = False
10.8398 	EXP 	text_2: autoDraw = False
10.8398 	EXP 	mask: autoDraw = False
11.8572 	EXP 	Probe_t1: autoDraw = True
11.9569 	DATA 	Keypress: 5
11.9738 	EXP 	Probe_t1: autoDraw = False
11.9738 	EXP 	Probe_t2: autoDraw = True
12.1400 	DATA 	Keypress: 5
12.1566 	EXP 	Probe_t2: autoDraw = False
12.1566 	EXP 	blank: autoDraw = True
12.8900 	EXP 	New trial (rep=1, index=0): None
12.9143 	EXP 	blank: autoDraw = False
12.9143 	EXP 	blank: autoDraw = False
12.9143 	EXP 	text: text = 2
12.9143 	EXP 	text: autoDraw = True
13.0931 	EXP 	Imported tmp_stimuli.csv as conditions, 15 conditions, 6 params
