23.4164 	EXP 	New trial (rep=0, index=13): OrderedDict([('block', 1), ('sep_dur', u'short'), ('Tx', u't1'), ('trial', 14), ('stimulus', u'J'), ('cond', u'distractor')])
23.4648 	EXP 	mask: autoDraw = False
23.4648 	EXP 	text_2: autoDraw = False
23.4648 	EXP 	mask: autoDraw = False
23.4648 	EXP 	text_2: text = u'J'
23.4648 	EXP 	text_2: autoDraw = True
23.4824 	EXP 	text_2: autoDraw = False
23.4992 	EXP 	mask: autoDraw = True
23.5000 	EXP 	New trial (rep=0, index=14): OrderedDict([('block', 1), ('sep_dur', u'short'), ('Tx', u't1'), ('trial', 15), ('stimulus', u'Z'), ('cond', u'distractor')])
23.5466 	EXP 	mask: autoDraw = False
23.5466 	EXP 	text_2: autoDraw = False
23.5466 	EXP 	mask: autoDraw = False
23.5466 	EXP 	text_2: text = u'Z'
23.5466 	EXP 	text_2: autoDraw = True
23.5655 	EXP 	text_2: autoDraw = False
23.5820 	EXP 	mask: autoDraw = True
23.5826 	EXP 	New trial (rep=0, index=15): OrderedDict([('block', 1), ('sep_dur', u'short'), ('Tx', u't1'), ('trial', 16), ('stimulus', u'Y'), ('cond', u'distractor')])
23.6315 	EXP 	mask: autoDraw = False
23.6315 	EXP 	text_2: autoDraw = False
23.6315 	EXP 	mask: autoDraw = False
23.6315 	EXP 	text_2: text = u'Y'
23.6315 	EXP 	text_2: autoDraw = True
23.6315 	EXP 	text_2: autoDraw = False
23.6655 	EXP 	mask: autoDraw = True
23.6663 	EXP 	New trial (rep=0, index=16): OrderedDict([('block', 1), ('sep_dur', u'short'), ('Tx', u't1'), ('trial', 17), ('stimulus', u'E'), ('cond', u'distractor')])
23.7140 	EXP 	mask: autoDraw = False
23.7140 	EXP 	text_2: autoDraw = False
23.7140 	EXP 	mask: autoDraw = False
23.7140 	EXP 	text_2: text = u'E'
23.7140 	EXP 	text_2: autoDraw = True
23.7326 	EXP 	text_2: autoDraw = False
23.7489 	EXP 	mask: autoDraw = True
23.7654 	EXP 	mask: autoDraw = False
23.7654 	EXP 	text_2: autoDraw = False
23.7654 	EXP 	mask: autoDraw = False
24.7829 	EXP 	Probe_t1: autoDraw = True
26.5007 	DATA 	Keypress: lshift
26.7663 	DATA 	Keypress: escape
26.7663 	EXP 	Global key event: forcequit. Calling <function quitExp at 0x11C96430>.
26.8256 	EXP 	window1: mouseVisible = True
