75.1722 	DATA 	Keypress: space
75.6860 	DATA 	Keypress: space
76.2375 	DATA 	Keypress: space
76.7193 	DATA 	Keypress: space
77.1863 	DATA 	Keypress: space
77.8026 	DATA 	Keypress: space
78.3078 	DATA 	Keypress: space
78.8245 	DATA 	Keypress: space
79.3068 	DATA 	Keypress: space
79.8221 	DATA 	Keypress: space
80.3053 	DATA 	Keypress: space
80.8360 	DATA 	Keypress: space
81.3582 	DATA 	Keypress: space
81.9056 	DATA 	Keypress: space
82.4046 	DATA 	Keypress: space
82.8711 	DATA 	Keypress: space
83.3882 	DATA 	Keypress: space
83.9054 	DATA 	Keypress: space
84.4396 	DATA 	Keypress: space
84.9882 	DATA 	Keypress: space
85.5264 	DATA 	Keypress: space
86.0920 	DATA 	Keypress: space
86.5898 	DATA 	Keypress: space
86.9876 	DATA 	Keypress: space
87.5570 	DATA 	Keypress: space
88.0760 	DATA 	Keypress: space
88.6435 	DATA 	Keypress: space
89.1723 	DATA 	Keypress: space
89.6524 	DATA 	Keypress: space
90.1555 	DATA 	Keypress: space
90.6207 	DATA 	Keypress: space
91.1097 	DATA 	Keypress: space
91.6231 	DATA 	Keypress: space
92.1053 	DATA 	Keypress: space
92.5899 	DATA 	Keypress: space
93.1085 	DATA 	Keypress: space
93.6087 	DATA 	Keypress: space
94.0579 	DATA 	Keypress: space
94.6072 	DATA 	Keypress: space
95.1413 	DATA 	Keypress: space
95.6879 	DATA 	Keypress: space
96.1572 	DATA 	Keypress: space
96.6565 	DATA 	Keypress: space
97.2570 	DATA 	Keypress: space
97.7746 	DATA 	Keypress: space
98.2891 	DATA 	Keypress: space
98.7929 	DATA 	Keypress: space
99.3731 	DATA 	Keypress: space
99.8828 	DATA 	Keypress: space
100.3930 	DATA 	Keypress: space
100.9558 	DATA 	Keypress: space
101.5062 	DATA 	Keypress: space
102.0255 	DATA 	Keypress: space
102.5586 	DATA 	Keypress: space
103.0884 	DATA 	Keypress: space
103.5582 	DATA 	Keypress: space
104.1901 	DATA 	Keypress: space
104.7088 	DATA 	Keypress: space
105.2076 	DATA 	Keypress: space
105.7546 	DATA 	Keypress: space
106.3233 	DATA 	Keypress: space
106.8075 	DATA 	Keypress: space
107.4432 	DATA 	Keypress: space
107.9115 	DATA 	Keypress: space
108.4090 	DATA 	Keypress: space
108.9570 	DATA 	Keypress: space
109.5263 	DATA 	Keypress: space
110.0566 	DATA 	Keypress: space
110.5731 	DATA 	Keypress: space
111.1222 	DATA 	Keypress: space
111.6740 	DATA 	Keypress: space
112.1751 	DATA 	Keypress: space
112.6073 	DATA 	Keypress: space
113.2087 	DATA 	Keypress: space
113.7744 	DATA 	Keypress: space
114.2755 	DATA 	Keypress: space
114.8578 	DATA 	Keypress: space
115.3574 	DATA 	Keypress: space
115.8890 	DATA 	Keypress: space
116.3580 	DATA 	Keypress: space
116.8917 	DATA 	Keypress: space
117.4578 	DATA 	Keypress: space
118.0411 	DATA 	Keypress: space
118.5260 	DATA 	Keypress: space
119.0116 	DATA 	Keypress: space
119.4895 	DATA 	Keypress: space
120.0083 	DATA 	Keypress: space
120.4667 	DATA 	Keypress: space
121.0414 	DATA 	Keypress: space
121.5770 	DATA 	Keypress: space
122.1255 	DATA 	Keypress: space
122.6932 	DATA 	Keypress: space
123.2455 	DATA 	Keypress: space
123.8748 	DATA 	Keypress: space
124.4784 	DATA 	Keypress: space
125.0418 	DATA 	Keypress: space
125.6736 	DATA 	Keypress: space
126.3260 	DATA 	Keypress: space
126.9095 	DATA 	Keypress: space
127.4732 	DATA 	Keypress: space
128.0262 	DATA 	Keypress: space
128.5786 	DATA 	Keypress: space
129.1237 	DATA 	Keypress: space
129.6916 	DATA 	Keypress: space
130.2609 	DATA 	Keypress: space
130.8906 	DATA 	Keypress: space
131.4751 	DATA 	Keypress: space
132.0583 	DATA 	Keypress: space
132.6440 	DATA 	Keypress: space
133.1925 	DATA 	Keypress: space
133.7759 	DATA 	Keypress: space
