1.3681 	ERROR 	avbin.dll failed to load. Try importing psychopy.visual
  as the first library (before anything that uses scipy)
  and make sure that avbin is installed.
13.0313 	EXP 	window1: blendMode = 'avg'
13.0479 	EXP 	window1: blendMode = 'avg'
13.0646 	EXP 	window1: blendMode = 'avg'
13.0814 	EXP 	window1: blendMode = 'avg'
13.0978 	EXP 	window1: blendMode = 'avg'
13.1151 	EXP 	window1: blendMode = 'avg'
13.1314 	EXP 	window1: blendMode = 'avg'
13.1479 	EXP 	window1: blendMode = 'avg'
13.1646 	EXP 	window1: blendMode = 'avg'
13.1813 	EXP 	window1: blendMode = 'avg'
13.1979 	EXP 	window1: blendMode = 'avg'
13.2147 	EXP 	window1: blendMode = 'avg'
13.2311 	EXP 	window1: blendMode = 'avg'
13.2479 	EXP 	window1: blendMode = 'avg'
13.2646 	EXP 	window1: blendMode = 'avg'
13.2811 	EXP 	window1: blendMode = 'avg'
13.2979 	EXP 	window1: blendMode = 'avg'
13.3152 	EXP 	window1: blendMode = 'avg'
13.3313 	EXP 	window1: blendMode = 'avg'
13.3480 	EXP 	window1: blendMode = 'avg'
13.3646 	EXP 	window1: blendMode = 'avg'
13.3812 	EXP 	window1: blendMode = 'avg'
13.3969 	EXP 	window1: blendMode = 'avg'
13.4136 	EXP 	window1: blendMode = 'avg'
13.4303 	EXP 	window1: blendMode = 'avg'
13.4469 	EXP 	window1: blendMode = 'avg'
13.4637 	EXP 	window1: blendMode = 'avg'
13.4810 	EXP 	window1: blendMode = 'avg'
13.4977 	EXP 	window1: blendMode = 'avg'
13.5144 	EXP 	window1: blendMode = 'avg'
13.5316 	EXP 	window1: blendMode = 'avg'
13.5478 	EXP 	window1: blendMode = 'avg'
13.5643 	EXP 	window1: blendMode = 'avg'
13.5817 	EXP 	window1: blendMode = 'avg'
13.5977 	EXP 	window1: blendMode = 'avg'
13.6143 	EXP 	window1: blendMode = 'avg'
13.6312 	EXP 	window1: blendMode = 'avg'
13.6478 	EXP 	window1: blendMode = 'avg'
13.6646 	EXP 	window1: blendMode = 'avg'
13.6810 	EXP 	window1: blendMode = 'avg'
13.6977 	EXP 	window1: blendMode = 'avg'
13.7142 	EXP 	window1: blendMode = 'avg'
13.7311 	EXP 	window1: blendMode = 'avg'
13.7478 	EXP 	window1: blendMode = 'avg'
13.7642 	EXP 	window1: blendMode = 'avg'
13.7811 	EXP 	window1: blendMode = 'avg'
13.7978 	EXP 	window1: blendMode = 'avg'
13.8143 	EXP 	window1: blendMode = 'avg'
13.8312 	EXP 	window1: blendMode = 'avg'
13.8483 	EXP 	window1: blendMode = 'avg'
13.8645 	EXP 	window1: blendMode = 'avg'
13.8811 	EXP 	window1: blendMode = 'avg'
13.8979 	EXP 	window1: blendMode = 'avg'
13.9143 	EXP 	window1: blendMode = 'avg'
13.9311 	EXP 	window1: blendMode = 'avg'
13.9479 	EXP 	window1: blendMode = 'avg'
13.9644 	EXP 	window1: blendMode = 'avg'
13.9809 	DATA 	Keypress: space
13.9817 	EXP 	window1: blendMode = 'avg'
13.9973 	EXP 	instructions_text: autoDraw = False
13.9973 	EXP 	blank_iti: autoDraw = True
13.9978 	EXP 	window1: blendMode = 'avg'
14.0141 	EXP 	window1: blendMode = 'avg'
14.0308 	EXP 	window1: blendMode = 'avg'
14.0475 	EXP 	window1: blendMode = 'avg'
14.0643 	EXP 	window1: blendMode = 'avg'
14.0810 	EXP 	window1: blendMode = 'avg'
14.0976 	EXP 	window1: blendMode = 'avg'
14.1140 	EXP 	window1: blendMode = 'avg'
14.1309 	EXP 	window1: blendMode = 'avg'
14.1476 	EXP 	window1: blendMode = 'avg'
14.1641 	EXP 	window1: blendMode = 'avg'
14.1808 	EXP 	window1: blendMode = 'avg'
14.1972 	EXP 	window1: blendMode = 'avg'
14.2135 	EXP 	window1: blendMode = 'avg'
14.2304 	EXP 	window1: blendMode = 'avg'
14.2473 	EXP 	window1: blendMode = 'avg'
14.2642 	EXP 	window1: blendMode = 'avg'
14.2812 	EXP 	window1: blendMode = 'avg'
14.2976 	EXP 	window1: blendMode = 'avg'
14.3143 	EXP 	window1: blendMode = 'avg'
14.3315 	EXP 	window1: blendMode = 'avg'
14.3475 	EXP 	window1: blendMode = 'avg'
14.3644 	EXP 	window1: blendMode = 'avg'
14.3809 	EXP 	window1: blendMode = 'avg'
14.3974 	EXP 	window1: blendMode = 'avg'
14.4145 	EXP 	window1: blendMode = 'avg'
14.4309 	EXP 	window1: blendMode = 'avg'
14.4476 	EXP 	window1: blendMode = 'avg'
14.4643 	EXP 	window1: blendMode = 'avg'
14.4809 	EXP 	window1: blendMode = 'avg'
14.4977 	EXP 	window1: blendMode = 'avg'
14.5142 	EXP 	window1: blendMode = 'avg'
14.5309 	EXP 	window1: blendMode = 'avg'
14.5476 	EXP 	window1: blendMode = 'avg'
14.5644 	EXP 	window1: blendMode = 'avg'
14.5809 	EXP 	window1: blendMode = 'avg'
14.5975 	EXP 	window1: blendMode = 'avg'
14.6143 	EXP 	window1: blendMode = 'avg'
14.6309 	EXP 	window1: blendMode = 'avg'
14.6476 	EXP 	window1: blendMode = 'avg'
14.6644 	EXP 	window1: blendMode = 'avg'
14.6810 	EXP 	window1: blendMode = 'avg'
14.6977 	EXP 	window1: blendMode = 'avg'
14.7142 	EXP 	window1: blendMode = 'avg'
14.7309 	EXP 	window1: blendMode = 'avg'
14.7477 	EXP 	window1: blendMode = 'avg'
14.7644 	EXP 	window1: blendMode = 'avg'
14.7810 	EXP 	window1: blendMode = 'avg'
14.7975 	EXP 	window1: blendMode = 'avg'
14.8144 	EXP 	window1: blendMode = 'avg'
14.8309 	EXP 	window1: blendMode = 'avg'
14.8476 	EXP 	window1: blendMode = 'avg'
14.8649 	EXP 	window1: blendMode = 'avg'
14.8809 	EXP 	window1: blendMode = 'avg'
14.8977 	EXP 	window1: blendMode = 'avg'
14.9143 	EXP 	window1: blendMode = 'avg'
14.9310 	EXP 	window1: blendMode = 'avg'
14.9470 	EXP 	window1: blendMode = 'avg'
14.9638 	EXP 	window1: blendMode = 'avg'
14.9810 	EXP 	Created sequence: random, trialTypes=1, nReps=17, seed=None
14.9812 	EXP 	New trial (rep=0, index=0): None
14.9820 	EXP 	Set  sound=clock-tick1.wav
14.9825 	EXP 	Sound  started
14.9829 	EXP 	window1: blendMode = 'avg'
14.9964 	EXP 	blank_iti: autoDraw = False
14.9964 	EXP 	blank_iti: autoDraw = False
14.9964 	EXP 	crosshair: autoDraw = True
14.9964 	EXP 	crosshair: autoDraw = True
14.9968 	EXP 	window1: blendMode = 'avg'
15.0136 	EXP 	window1: blendMode = 'avg'
15.0303 	EXP 	window1: blendMode = 'avg'
15.0472 	EXP 	window1: blendMode = 'avg'
15.0640 	EXP 	window1: blendMode = 'avg'
15.0814 	EXP 	window1: blendMode = 'avg'
15.0982 	EXP 	window1: blendMode = 'avg'
15.1150 	EXP 	window1: blendMode = 'avg'
15.1321 	EXP 	window1: blendMode = 'avg'
15.1483 	EXP 	window1: blendMode = 'avg'
15.1650 	EXP 	window1: blendMode = 'avg'
15.1814 	EXP 	window1: blendMode = 'avg'
15.1983 	EXP 	window1: blendMode = 'avg'
15.2150 	EXP 	window1: blendMode = 'avg'
15.2314 	EXP 	window1: blendMode = 'avg'
15.2481 	EXP 	window1: blendMode = 'avg'
15.2649 	EXP 	window1: blendMode = 'avg'
15.2815 	EXP 	window1: blendMode = 'avg'
15.2983 	EXP 	window1: blendMode = 'avg'
15.3150 	EXP 	window1: blendMode = 'avg'
15.3314 	EXP 	window1: blendMode = 'avg'
15.3481 	EXP 	window1: blendMode = 'avg'
15.3647 	EXP 	window1: blendMode = 'avg'
15.3815 	EXP 	window1: blendMode = 'avg'
15.3979 	DATA 	Keypress: space
15.3987 	EXP 	window1: blendMode = 'avg'
15.4136 	EXP 	window1: blendMode = 'avg'
15.4303 	EXP 	window1: blendMode = 'avg'
15.4470 	EXP 	window1: blendMode = 'avg'
15.4643 	EXP 	window1: blendMode = 'avg'
15.4809 	EXP 	window1: blendMode = 'avg'
15.4983 	EXP 	window1: blendMode = 'avg'
15.5145 	EXP 	window1: blendMode = 'avg'
15.5311 	EXP 	window1: blendMode = 'avg'
15.5478 	EXP 	window1: blendMode = 'avg'
15.5650 	EXP 	window1: blendMode = 'avg'
15.5808 	EXP 	Sound  stopped
15.5816 	EXP 	New trial (rep=1, index=0): None
