494.8938 	EXP 	New trial (rep=0, index=17): OrderedDict([('block', 1), ('sep_dur', u'short'), ('Tx', u't1'), ('trial', 18), ('stimulus', u'D'), ('cond', u'distractor')])
494.9352 	EXP 	text_2: autoDraw = False
494.9352 	EXP 	mask: autoDraw = False
494.9352 	EXP 	text_2: text = u'D'
494.9352 	EXP 	text_2: autoDraw = True
495.0125 	EXP 	text_2: autoDraw = False
495.0125 	EXP 	mask: autoDraw = False
496.0448 	EXP 	Probe_t1: autoDraw = True
496.3857 	DATA 	Keypress: 8
496.4353 	EXP 	Probe_t1: autoDraw = False
496.4353 	EXP 	Probe_t2: autoDraw = True
496.5909 	DATA 	Keypress: 8
496.6302 	EXP 	Probe_t2: autoDraw = False
496.6302 	EXP 	blank: autoDraw = True
497.3639 	EXP 	New trial (rep=1, index=0): None
497.4362 	EXP 	blank: autoDraw = False
497.4362 	EXP 	text: text = 2
497.4362 	EXP 	text: autoDraw = True
497.5652 	EXP 	Imported tmp_stimuli.csv as conditions, 18 conditions, 6 params
497.5663 	EXP 	Created sequence: sequential, trialTypes=18, nReps=1, seed=None
497.5677 	EXP 	New trial (rep=0, index=0): OrderedDict([('block', 2), ('sep_dur', u'long'), ('Tx', u't2'), ('trial', 1), ('stimulus', u'I'), ('cond', u'distractor')])
497.6117 	EXP 	text: autoDraw = False
497.6117 	EXP 	text_2: text = u'I'
497.6117 	EXP 	text_2: autoDraw = True
497.6509 	EXP 	New trial (rep=0, index=1): OrderedDict([('block', 2), ('sep_dur', u'long'), ('Tx', u't2'), ('trial', 2), ('stimulus', u'R'), ('cond', u'distractor')])
497.6985 	EXP 	text_2: autoDraw = False
497.6985 	EXP 	mask: autoDraw = False
497.6985 	EXP 	text_2: text = u'R'
497.6985 	EXP 	text_2: autoDraw = True
497.7353 	EXP 	New trial (rep=0, index=2): OrderedDict([('block', 2), ('sep_dur', u'long'), ('Tx', u't2'), ('trial', 3), ('stimulus', u'Y'), ('cond', u'distractor')])
497.7815 	EXP 	text_2: autoDraw = False
497.7815 	EXP 	mask: autoDraw = False
497.7815 	EXP 	text_2: text = u'Y'
497.7815 	EXP 	text_2: autoDraw = True
497.8166 	EXP 	New trial (rep=0, index=3): OrderedDict([('block', 2), ('sep_dur', u'long'), ('Tx', u't2'), ('trial', 4), ('stimulus', u'Y'), ('cond', u'distractor')])
497.8502 	EXP 	text_2: autoDraw = False
497.8502 	EXP 	mask: autoDraw = False
497.8502 	EXP 	text_2: text = u'Y'
497.8502 	EXP 	text_2: autoDraw = True
497.8929 	EXP 	New trial (rep=0, index=4): OrderedDict([('block', 2), ('sep_dur', u'long'), ('Tx', u't2'), ('trial', 5), ('stimulus', u'4'), ('cond', u'target')])
497.9500 	EXP 	text_2: autoDraw = False
497.9500 	EXP 	mask: autoDraw = False
497.9500 	EXP 	text_2: text = u'4'
497.9500 	EXP 	text_2: autoDraw = True
497.9899 	EXP 	New trial (rep=0, index=5): OrderedDict([('block', 2), ('sep_dur', u'long'), ('Tx', u't2'), ('trial', 6), ('stimulus', u'C'), ('cond', u'distractor')])
498.0398 	EXP 	text_2: autoDraw = False
498.0398 	EXP 	mask: autoDraw = False
498.0398 	EXP 	text_2: text = u'C'
498.0398 	EXP 	text_2: autoDraw = True
498.0797 	EXP 	New trial (rep=0, index=6): OrderedDict([('block', 2), ('sep_dur', u'long'), ('Tx', u't2'), ('trial', 7), ('stimulus', u'M'), ('cond', u'distractor')])
498.1239 	EXP 	text_2: autoDraw = False
498.1239 	EXP 	mask: autoDraw = False
498.1239 	EXP 	text_2: text = u'M'
498.1239 	EXP 	text_2: autoDraw = True
498.1594 	EXP 	New trial (rep=0, index=7): OrderedDict([('block', 2), ('sep_dur', u'long'), ('Tx', u't2'), ('trial', 8), ('stimulus', u'X'), ('cond', u'distractor')])
498.2049 	EXP 	text_2: autoDraw = False
498.2049 	EXP 	mask: autoDraw = False
498.2049 	EXP 	text_2: text = u'X'
498.2049 	EXP 	text_2: autoDraw = True
498.2436 	EXP 	New trial (rep=0, index=8): OrderedDict([('block', 2), ('sep_dur', u'long'), ('Tx', u't2'), ('trial', 9), ('stimulus', u'S'), ('cond', u'distractor')])
498.2908 	EXP 	text_2: autoDraw = False
498.2908 	EXP 	mask: autoDraw = False
498.2908 	EXP 	text_2: text = u'S'
498.2908 	EXP 	text_2: autoDraw = True
498.3293 	EXP 	New trial (rep=0, index=9): OrderedDict([('block', 2), ('sep_dur', u'long'), ('Tx', u't2'), ('trial', 10), ('stimulus', u'O'), ('cond', u'distractor')])
498.3737 	EXP 	text_2: autoDraw = False
498.3737 	EXP 	mask: autoDraw = False
498.3737 	EXP 	text_2: text = u'O'
498.3737 	EXP 	text_2: autoDraw = True
498.4140 	EXP 	New trial (rep=0, index=10): OrderedDict([('block', 2), ('sep_dur', u'long'), ('Tx', u't2'), ('trial', 11), ('stimulus', u'G'), ('cond', u'distractor')])
498.4648 	EXP 	text_2: autoDraw = False
498.4648 	EXP 	mask: autoDraw = False
498.4648 	EXP 	text_2: text = u'G'
498.4648 	EXP 	text_2: autoDraw = True
498.4964 	EXP 	text_2: autoDraw = False
498.4964 	EXP 	mask: autoDraw = True
498.4975 	EXP 	New trial (rep=0, index=11): OrderedDict([('block', 2), ('sep_dur', u'long'), ('Tx', u't2'), ('trial', 12), ('stimulus', u'H'), ('cond', u'distractor')])
498.5393 	EXP 	text_2: autoDraw = False
498.5393 	EXP 	mask: autoDraw = False
498.5393 	EXP 	text_2: text = u'H'
498.5393 	EXP 	text_2: autoDraw = True
498.5772 	EXP 	New trial (rep=0, index=12): OrderedDict([('block', 2), ('sep_dur', u'long'), ('Tx', u't2'), ('trial', 13), ('stimulus', u'E'), ('cond', u'distractor')])
498.6249 	EXP 	text_2: autoDraw = False
498.6249 	EXP 	mask: autoDraw = False
498.6249 	EXP 	text_2: text = u'E'
498.6249 	EXP 	text_2: autoDraw = True
